,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,predecessorID,successorID
44449,19653,51,103,3,2,cell,96%,29,28,12,9,85,6.08276253,28.01785145,A,3,2
44450,19653,51,103,3,3,cell,93%,30,37,7,5,28,-3,37,B,3,NA
44451,19654,51,104,2,1,cell,96%,28,28,10,9,71,6.32455532,28.0713377,A,2,NA
44452,19654,51,104,2,2,cell,97%,29,37,6,7,33,-3.16227766,37.01351105,B,2,2
44453,19655,51,105,2,1,cell,96%,28,28,11,10,87,6.32455532,28.0713377,A,2,NA
44454,19655,51,105,2,2,cell,96%,29,38,7,8,44,-4.123105626,38.01315562,B,2,2
44455,19656,51,106,2,1,cell,97%,28,28,11,10,87,6.32455532,28.0713377,A,2,2
44456,19656,51,106,2,2,cell,96%,29,38,8,9,57,-4.123105626,38.01315562,B,2,3
44457,19657,51,107,3,1,cell,94%,26,19,10,8,63,15.5241747,19.41648784,A,1,3
44458,19657,51,107,3,2,cell,96%,29,29,12,10,95,5.099019514,29.01723626,A,1,NA
44459,19657,51,107,3,3,cell,96%,29,39,8,9,57,-5.099019514,39.01281841,B,2,NA
44460,19658,51,108,3,1,cell,94%,26,19,8,8,51,15.5241747,19.41648784,A,1,2
44461,19658,51,108,3,2,cell,96%,29,29,12,10,95,5.099019514,29.01723626,A,1,NA
44462,19658,51,108,3,3,cell,96%,29,41,9,10,71,-7.071067812,41.01219331,B,1,NA
44463,19659,51,109,2,1,cell,95%,25,19,9,7,50,15.8113883,19.6468827,A,1,3
44464,19659,51,109,2,2,cell,97%,29,29,11,10,87,5.099019514,29.01723626,A,1,NA
44465,19660,51,110,3,1,cell,95%,27,20,10,7,55,14.31782106,20.22374842,A,1,NA
44466,19660,51,110,3,2,cell,97%,29,29,12,9,85,5.099019514,29.01723626,A,1,NA
44467,19660,51,110,3,3,cell,93%,29,38,7,6,33,-4.123105626,38.01315562,B,1,3
44468,19661,51,111,3,1,cell,96%,27,20,10,8,63,14.31782106,20.22374842,A,3,NA
44469,19661,51,111,3,2,cell,97%,28,30,11,8,70,4.472135955,30.06659276,A,3,2
44470,19661,51,111,3,3,cell,96%,29,38,7,7,39,-4.123105626,38.01315562,B,3,NA
44471,19662,51,112,2,1,cell,96%,29,28,12,10,95,6.08276253,28.01785145,A,2,NA
44472,19662,51,112,2,2,cell,96%,29,39,7,9,50,-5.099019514,39.01281841,B,2,2
44473,19663,51,113,2,1,cell,97%,28,28,11,9,78,6.32455532,28.0713377,A,2,NA
44474,19663,51,113,2,2,cell,96%,29,40,8,10,63,-6.08276253,40.01249805,B,2,2
44475,19664,51,114,2,1,cell,97%,29,27,11,10,87,7.071067812,27.01851217,A,2,NA
44476,19664,51,114,2,2,cell,96%,29,38,7,9,50,-4.123105626,38.01315562,B,2,2
44477,19665,51,115,2,1,cell,97%,29,28,12,11,104,6.08276253,28.01785145,A,2,2
44478,19665,51,115,2,2,cell,96%,29,40,9,11,78,-6.08276253,40.01249805,B,2,3
44479,19666,51,116,3,1,cell,94%,27,19,10,8,63,15.29705854,19.23538406,A,1,NA
44480,19666,51,116,3,2,cell,96%,30,29,12,10,95,5,29,A,1,NA
44481,19666,51,116,3,3,cell,96%,30,42,8,12,76,-8,42,B,2,3
44482,19667,51,117,3,1,cell,96%,27,20,10,9,71,14.31782106,20.22374842,A,3,NA
44483,19667,51,117,3,2,cell,97%,30,28,12,9,85,6,28,A,3,NA
44484,19667,51,117,3,3,cell,76%,30,36,8,5,32,-2,36,B,3,3
44485,19668,51,118,3,1,cell,94%,26,19,9,9,64,15.5241747,19.41648784,A,3,NA
44486,19668,51,118,3,2,cell,97%,29,29,13,9,92,5.099019514,29.01723626,A,3,2
44487,19668,51,118,3,3,cell,95%,29,38,7,7,39,-4.123105626,38.01315562,B,3,NA
44488,19669,51,119,2,1,cell,96%,29,28,13,9,92,6.08276253,28.01785145,A,2,NA
44489,19669,51,119,2,2,cell,95%,29,38,7,8,44,-4.123105626,38.01315562,B,2,2
44490,19670,51,120,2,1,cell,97%,29,27,11,10,87,7.071067812,27.01851217,A,2,NA
44491,19670,51,120,2,2,cell,95%,29,38,7,8,44,-4.123105626,38.01315562,B,2,2
44492,19671,51,121,2,1,cell,97%,29,27,12,10,95,7.071067812,27.01851217,A,2,NA
44493,19671,51,121,2,2,cell,95%,29,38,8,9,57,-4.123105626,38.01315562,B,2,2
44494,19672,51,122,2,1,cell,96%,30,28,12,10,95,6,28,A,2,1
44495,19672,51,122,2,2,cell,96%,29,40,9,10,71,-6.08276253,40.01249805,B,2,NA
